new_day,source_day_range,unit_start,unit_end,root_start,root_end,roots,words,estimated_minutes,block_1,block_2,block_3,block_4
1,01-04,1,15,pro-,under-,15,84,53.2,15.2,12.2,11.8,14.0
2,04-08,16,30,ex-,tele-,15,86,54.2,14.2,13.5,12.8,13.8
3,08-11,31,49,auto-,-(e)ty/-ity,19,81,54.8,14.5,13.0,12.5,14.8
4,11-12,50,83,-y/-ry,-ful,34,54,52.5,12.5,13.8,12.5,13.8
5,12-13,84,113,-ive,-ly,30,63,54.0,13.8,13.0,13.0,14.2
6,13-17,114,134,-ward,centr,21,77,54.2,13.2,12.5,14.8,13.8
7,17-21,135,154,cern,deb,20,79,54.5,12.8,15.0,13.0,13.8
8,21-24,155,171,der,fin,17,85,55.2,12.0,13.2,14.0,16.0
9,24-27,172,190,flect,hered,19,77,52.8,11.8,13.2,14.5,13.2
10,28-31,191,210,host,log,20,78,54.0,13.2,13.2,13.8,13.8
11,31-35,211,227,long,mod,17,84,54.8,12.5,15.8,13.8,12.8
12,35-39,228,249,mort,pass,22,74,53.5,13.2,13.0,12.5,14.8
13,39-42,250,267,path,pos,18,84,55.5,13.2,14.2,14.8,13.2
14,43-46,268,286,poss,sci,19,78,53.2,11.5,14.5,14.0,13.2
15,46-50,287,304,scrib,spond,18,82,54.5,12.5,14.5,12.2,15.2
16,50-54,305,319,sta,temper,15,87,54.8,16.0,12.8,14.5,11.5
17,54-57,320,341,tempor,us,22,76,54.5,13.2,13.5,13.0,14.8
18,57-60,342,360,vad,ward,19,81,54.8,14.0,14.2,14.2,12.2
